window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
138,69,0,576,128,8,2,1,324,1176920,1186743,12,0,0
139,69,1,576,128,8,2,1,324,1186744,1192535,12,0,0
140,70,0,576,128,8,2,1,254,1192536,1202359,12,0,0
141,70,1,576,128,8,2,1,254,1202360,1207031,12,0,0
142,71,0,576,128,8,2,1,247,1207032,1216855,12,0,0
143,71,1,576,128,8,2,1,247,1216856,1221415,12,0,0
144,72,0,576,128,8,2,1,255,1221416,1231239,12,0,0
145,72,1,576,128,8,2,1,255,1231240,1235927,12,0,0
146,73,0,576,128,8,2,1,297,1235928,1245751,12,0,0
147,73,1,576,128,8,2,1,297,1245752,1251111,12,0,0
148,74,0,576,128,8,2,1,333,1251112,1260935,12,0,0
149,74,1,576,128,8,2,1,333,1260936,1266871,12,0,0
150,75,0,576,128,8,2,1,235,1266872,1276695,12,0,0
151,75,1,576,128,8,2,1,235,1276696,1281063,12,0,0
152,76,0,576,128,8,2,1,275,1281064,1290887,12,0,0
153,76,1,576,128,8,2,1,275,1290888,1295895,12,0,0
154,77,0,576,128,8,2,1,336,1295896,1305719,12,0,0
155,77,1,576,128,8,2,1,336,1305720,1311703,12,0,0
156,78,0,576,128,8,2,1,237,1311704,1321527,12,0,0
157,78,1,576,128,8,2,1,237,1321528,1325927,12,0,0
158,79,0,576,128,8,2,1,296,1325928,1335751,12,0,0
159,79,1,576,128,8,2,1,296,1335752,1341095,12,0,0
160,80,0,576,128,8,2,1,280,1341096,1350919,12,0,0
161,80,1,576,128,8,2,1,280,1350920,1356007,12,0,0
162,81,0,576,128,8,2,1,293,1356008,1365831,12,0,0
163,81,1,576,128,8,2,1,293,1365832,1371127,12,0,0
164,82,0,576,128,8,2,1,258,1371128,1380951,12,0,0
165,82,1,576,128,8,2,1,258,1380952,1385687,12,0,0
166,83,0,576,128,8,2,1,303,1385688,1395511,12,0,0
167,83,1,576,128,8,2,1,303,1395512,1400967,12,0,0
168,84,0,576,128,8,2,1,276,1400968,1410791,12,0,0
169,84,1,576,128,8,2,1,276,1410792,1415815,12,0,0
170,85,0,576,128,8,2,1,291,1415816,1425639,12,0,0
171,85,1,576,128,8,2,1,291,1425640,1430903,12,0,0
172,86,0,576,128,8,2,1,273,1430904,1440727,12,0,0
173,86,1,576,128,8,2,1,273,1440728,1445703,12,0,0
174,87,0,576,128,8,2,1,317,1445704,1455527,12,0,0
175,87,1,576,128,8,2,1,317,1455528,1461207,12,0,0
176,88,0,576,128,8,2,1,315,1461208,1471031,12,0,0
177,88,1,576,128,8,2,1,315,1471032,1476679,12,0,0
178,89,0,576,128,8,2,1,295,1476680,1486503,12,0,0
179,89,1,576,128,8,2,1,295,1486504,1491831,12,0,0
180,90,0,576,128,8,2,1,298,1491832,1501655,12,0,0
181,90,1,576,128,8,2,1,298,1501656,1507031,12,0,0
182,91,0,576,128,8,2,1,343,1507032,1516855,12,0,0
183,91,1,576,128,8,2,1,343,1516856,1522951,12,0,0
184,92,0,576,128,8,2,1,301,1522952,1532775,12,0,0
185,92,1,576,128,8,2,1,301,1532776,1538199,12,0,0
186,93,0,576,128,8,2,1,240,1538200,1548023,12,0,0
187,93,1,576,128,8,2,1,240,1548024,1552471,12,0,0
188,94,0,576,128,8,2,1,254,1552472,1562295,12,0,0
189,94,1,576,128,8,2,1,254,1562296,1566967,12,0,0
190,95,0,576,128,8,2,1,321,1566968,1576791,12,0,0
191,95,1,576,128,8,2,1,321,1576792,1582535,12,0,0
192,96,0,576,128,8,2,1,317,1582536,1592359,12,0,0
193,96,1,576,128,8,2,1,317,1592360,1598039,12,0,0
194,97,0,576,128,8,2,1,267,1598040,1607863,12,0,0
195,97,1,576,128,8,2,1,267,1607864,1612743,12,0,0
196,98,0,576,128,8,2,1,342,1612744,1622567,12,0,0
197,98,1,576,128,8,2,1,342,1622568,1628647,12,0,0
198,99,0,576,128,8,2,1,312,1628648,1638471,12,0,0
199,99,1,576,128,8,2,1,312,1638472,1644071,12,0,0
200,100,0,576,128,8,2,1,317,1644072,1653895,12,0,0
201,100,1,576,128,8,2,1,317,1653896,1659575,12,0,0
202,101,0,576,128,8,2,1,340,1659576,1669399,12,0,0
203,101,1,576,128,8,2,1,340,1669400,1675447,12,0,0
204,102,0,576,128,8,2,1,323,1675448,1685271,12,0,0
205,102,1,576,128,8,2,1,323,1685272,1691047,12,0,0
206,103,0,576,128,8,2,1,307,1691048,1700871,12,0,0
207,103,1,576,128,8,2,1,307,1700872,1706391,12,0,0
208,104,0,576,128,8,2,1,246,1706392,1716215,12,0,0
209,104,1,576,128,8,2,1,246,1716216,1720759,12,0,0
210,105,0,576,128,8,2,1,238,1720760,1730583,12,0,0
211,105,1,576,128,8,2,1,238,1730584,1734999,12,0,0
212,106,0,576,128,8,2,1,306,1735000,1744823,12,0,0
213,106,1,576,128,8,2,1,306,1744824,1750327,12,0,0
214,107,0,576,128,8,2,1,298,1750328,1760151,12,0,0
215,107,1,576,128,8,2,1,298,1760152,1765527,12,0,0
216,108,0,576,128,8,2,1,222,1765528,1775351,12,0,0
217,108,1,576,128,8,2,1,222,1775352,1779511,12,0,0
218,109,0,576,128,8,2,1,229,1779512,1789335,12,0,0
219,109,1,576,128,8,2,1,229,1789336,1793607,12,0,0
220,110,0,576,128,8,2,1,245,1793608,1803431,12,0,0
221,110,1,576,128,8,2,1,245,1803432,1807959,12,0,0
222,111,0,576,128,8,2,1,295,1807960,1817783,12,0,0
223,111,1,576,128,8,2,1,295,1817784,1823111,12,0,0
224,112,0,576,128,8,2,1,280,1823112,1832935,12,0,0
225,112,1,576,128,8,2,1,280,1832936,1838023,12,0,0
226,113,0,576,128,8,2,1,261,1838024,1847847,12,0,0
227,113,1,576,128,8,2,1,261,1847848,1852631,12,0,0
228,114,0,576,128,8,2,1,266,1852632,1862455,12,0,0
229,114,1,576,128,8,2,1,266,1862456,1867319,12,0,0
230,115,0,576,128,8,2,1,277,1867320,1877143,12,0,0
231,115,1,576,128,8,2,1,277,1877144,1882183,12,0,0
232,116,0,576,128,8,2,1,250,1882184,1892007,12,0,0
233,116,1,576,128,8,2,1,250,1892008,1896615,12,0,0
234,117,0,576,128,8,2,1,267,1896616,1906439,12,0,0
235,117,1,576,128,8,2,1,267,1906440,1911319,12,0,0
236,118,0,576,128,8,2,1,236,1911320,1921143,12,0,0
237,118,1,576,128,8,2,1,236,1921144,1925527,12,0,0
238,119,0,576,128,8,2,1,275,1925528,1935351,12,0,0
