window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
142,71,0,576,128,8,2,3,8,247,218393,220452,0,0,0
143,71,1,576,128,8,2,3,8,247,219289,221364,0,0,0
144,72,0,576,128,8,2,3,8,255,220441,222516,0,0,0
145,72,1,576,128,8,2,3,8,255,221353,223540,0,0,0
146,73,0,576,128,8,2,3,8,297,222505,224692,0,0,0
147,73,1,576,128,8,2,3,8,297,223529,225508,0,0,0
148,74,0,576,128,8,2,3,8,333,224681,226660,0,0,0
149,74,1,576,128,8,2,3,8,333,225497,227668,0,0,0
150,75,0,576,128,8,2,3,8,235,226649,228820,0,0,0
151,75,1,576,128,8,2,3,8,235,227657,229700,0,0,0
152,76,0,576,128,8,2,3,8,275,228809,230852,0,0,0
153,76,1,576,128,8,2,3,8,275,229689,231748,0,0,0
154,77,0,576,128,8,2,3,8,336,230841,232900,0,0,0
155,77,1,576,128,8,2,3,8,336,231737,233716,0,0,0
156,78,0,576,128,8,2,3,8,237,232889,234868,0,0,0
157,78,1,576,128,8,2,3,8,237,233705,235844,0,0,0
158,79,0,576,128,8,2,3,8,296,234857,236996,0,0,0
159,79,1,576,128,8,2,3,8,296,235833,237796,0,0,0
160,80,0,576,128,8,2,3,8,280,236985,238948,0,0,0
161,80,1,576,128,8,2,3,8,280,237785,239796,0,0,0
162,81,0,576,128,8,2,3,8,293,238937,240948,0,0,0
163,81,1,576,128,8,2,3,8,293,239785,241876,0,0,0
164,82,0,576,128,8,2,3,8,258,240937,243028,0,0,0
165,82,1,576,128,8,2,3,8,258,241865,244036,0,0,0
166,83,0,576,128,8,2,3,8,303,243017,245188,0,0,0
167,83,1,576,128,8,2,3,8,303,244025,246212,0,0,0
168,84,0,576,128,8,2,3,8,276,245177,247364,0,0,0
169,84,1,576,128,8,2,3,8,276,246201,248212,0,0,0
170,85,0,576,128,8,2,3,8,291,247353,249364,0,0,0
171,85,1,576,128,8,2,3,8,291,248201,250084,0,0,0
172,86,0,576,128,8,2,3,8,273,249353,251236,0,0,0
173,86,1,576,128,8,2,3,8,273,250073,252260,0,0,0
174,87,0,576,128,8,2,3,8,317,251225,253412,0,0,0
175,87,1,576,128,8,2,3,8,317,252249,254260,0,0,0
176,88,0,576,128,8,2,3,8,315,253401,255412,0,0,0
177,88,1,576,128,8,2,3,8,315,254249,256276,0,0,0
178,89,0,576,128,8,2,3,8,295,255401,257428,0,0,0
179,89,1,576,128,8,2,3,8,295,256265,258468,0,0,0
180,90,0,576,128,8,2,3,8,298,257417,259620,0,0,0
181,90,1,576,128,8,2,3,8,298,258457,260468,0,0,0
182,91,0,576,128,8,2,3,8,343,259609,261620,0,0,0
183,91,1,576,128,8,2,3,8,343,260457,262628,0,0,0
184,92,0,576,128,8,2,3,8,301,261609,263780,0,0,0
185,92,1,576,128,8,2,3,8,301,262617,264820,0,0,0
186,93,0,576,128,8,2,3,8,240,263769,265972,0,0,0
187,93,1,576,128,8,2,3,8,240,264809,266932,0,0,0
188,94,0,576,128,8,2,3,8,254,265961,268084,0,0,0
189,94,1,576,128,8,2,3,8,254,266921,268964,0,0,0
190,95,0,576,128,8,2,3,8,321,268073,270116,0,0,0
191,95,1,576,128,8,2,3,8,321,268953,271124,0,0,0
192,96,0,576,128,8,2,3,8,317,270105,272276,0,0,0
193,96,1,576,128,8,2,3,8,317,271113,273284,0,0,0
194,97,0,576,128,8,2,3,8,267,272265,274436,0,0,0
195,97,1,576,128,8,2,3,8,267,273273,275396,0,0,0
196,98,0,576,128,8,2,3,8,342,274425,276548,0,0,0
197,98,1,576,128,8,2,3,8,342,275385,277556,0,0,0
198,99,0,576,128,8,2,3,8,312,276537,278708,0,0,0
199,99,1,576,128,8,2,3,8,312,277545,279764,0,0,0
200,100,0,576,128,8,2,3,8,317,278697,280916,0,0,0
201,100,1,576,128,8,2,3,8,317,279753,281924,0,0,0
202,101,0,576,128,8,2,3,8,340,280905,283076,0,0,0
203,101,1,576,128,8,2,3,8,340,281913,283860,0,0,0
204,102,0,576,128,8,2,3,8,323,283065,285012,0,0,0
205,102,1,576,128,8,2,3,8,323,283849,286020,0,0,0
206,103,0,576,128,8,2,3,8,307,285001,287172,0,0,0
207,103,1,576,128,8,2,3,8,307,286009,288180,0,0,0
208,104,0,576,128,8,2,3,8,246,287161,289332,0,0,0
209,104,1,576,128,8,2,3,8,246,288169,290324,0,0,0
210,105,0,576,128,8,2,3,8,238,289321,291476,0,0,0
211,105,1,576,128,8,2,3,8,238,290313,292436,0,0,0
212,106,0,576,128,8,2,3,8,306,291465,293588,0,0,0
213,106,1,576,128,8,2,3,8,306,292425,294564,0,0,0
214,107,0,576,128,8,2,3,8,298,293577,295716,0,0,0
215,107,1,576,128,8,2,3,8,298,294553,296580,0,0,0
216,108,0,576,128,8,2,3,8,222,295705,297732,0,0,0
217,108,1,576,128,8,2,3,8,222,296569,298404,0,0,0
218,109,0,576,128,8,2,3,8,229,297721,299556,0,0,0
219,109,1,576,128,8,2,3,8,229,298393,300244,0,0,0
220,110,0,576,128,8,2,3,8,245,299545,301396,0,0,0
221,110,1,576,128,8,2,3,8,245,300233,302244,0,0,0
222,111,0,576,128,8,2,3,8,295,301385,303396,0,0,0
223,111,1,576,128,8,2,3,8,295,302233,304276,0,0,0
224,112,0,576,128,8,2,3,8,280,303385,305428,0,0,0
225,112,1,576,128,8,2,3,8,280,304265,306228,0,0,0
226,113,0,576,128,8,2,3,8,261,305417,307380,0,0,0
227,113,1,576,128,8,2,3,8,261,306217,308244,0,0,0
228,114,0,576,128,8,2,3,8,266,307369,309396,0,0,0
229,114,1,576,128,8,2,3,8,266,308233,310372,0,0,0
230,115,0,576,128,8,2,3,8,277,309385,311524,0,0,0
231,115,1,576,128,8,2,3,8,277,310361,312372,0,0,0
232,116,0,576,128,8,2,3,8,250,311513,313524,0,0,0
233,116,1,576,128,8,2,3,8,250,312361,314548,0,0,0
234,117,0,576,128,8,2,3,8,267,313513,315700,0,0,0
235,117,1,576,128,8,2,3,8,267,314537,316676,0,0,0
236,118,0,576,128,8,2,3,8,236,315689,317828,0,0,0
237,118,1,576,128,8,2,3,8,236,316665,318756,0,0,0
238,119,0,576,128,8,2,3,8,275,317817,319908,0,0,0
239,119,1,576,128,8,2,3,8,275,318745,320884,0,0,0
240,120,0,576,128,8,2,3,8,255,319897,322036,0,0,0
241,120,1,576,128,8,2,3,8,255,320873,322884,0,0,0
242,121,0,576,128,8,2,3,8,269,322025,324036,0,0,0
243,121,1,576,128,8,2,3,8,269,322873,324820,0,0,0
244,122,0,576,128,8,2,3,8,267,324025,325972,0,0,0
245,122,1,576,128,8,2,3,8,267,324809,326900,0,0,0
246,123,0,576,128,8,2,3,8,239,325961,328052,0,0,0
247,123,1,576,128,8,2,3,8,239,326889,329012,0,0,0
248,124,0,576,128,8,2,3,8,256,328041,330164,0,0,0
249,124,1,576,128,8,2,3,8,256,329001,331108,0,0,0
250,125,0,576,128,8,2,3,8,276,330153,332260,0,0,0
251,125,1,576,128,8,2,3,8,276,331097,333236,0,0,0
252,126,0,576,128,8,2,3,8,258,332249,334388,0,0,0
253,126,1,576,128,8,2,3,8,258,333225,335300,0,0,0
254,127,0,576,128,8,2,3,8,289,334377,336452,0,0,0
255,127,1,576,128,8,2,3,8,289,335289,337220,0,0,0
256,128,0,576,128,8,2,3,8,363,336441,338372,0,0,0
257,128,1,576,128,8,2,3,8,363,337209,339236,0,0,0
258,129,0,576,128,8,2,3,8,264,338361,340388,0,0,0
259,129,1,576,128,8,2,3,8,264,339225,341252,0,0,0
260,130,0,576,128,8,2,3,8,365,340377,342404,0,0,0
261,130,1,576,128,8,2,3,8,365,341241,343268,0,0,0
262,131,0,576,128,8,2,3,8,281,342393,344420,0,0,0
263,131,1,576,128,8,2,3,8,281,343257,345284,0,0,0
264,132,0,576,128,8,2,3,8,350,344409,346436,0,0,0
265,132,1,576,128,8,2,3,8,350,345273,347300,0,0,0
266,133,0,576,128,8,2,3,8,367,346425,348452,0,0,0
267,133,1,576,128,8,2,3,8,367,347289,349316,0,0,0
268,134,0,576,128,8,2,3,8,312,348441,350468,0,0,0
269,134,1,576,128,8,2,3,8,312,349305,351284,0,0,0
270,135,0,576,128,8,2,3,8,289,350457,352436,0,0,0
271,135,1,576,128,8,2,3,8,289,351273,353268,0,0,0
272,136,0,576,128,8,2,3,8,308,352425,354420,0,0,0
273,136,1,576,128,8,2,3,8,308,353257,355284,0,0,0
274,137,0,576,128,8,2,3,8,328,354409,356436,0,0,0
275,137,1,576,128,8,2,3,8,328,355273,357300,0,0,0
276,138,0,576,128,8,2,3,8,329,356425,358452,0,0,0
277,138,1,576,128,8,2,3,8,329,357289,359252,0,0,0
278,139,0,576,128,8,2,3,8,227,358441,360404,0,0,0
279,139,1,576,128,8,2,3,8,227,359241,360980,0,0,0
280,140,0,576,128,8,2,3,8,321,360393,362133,0,0,0
281,140,1,576,128,8,2,3,8,321,360970,362965,0,0,0
282,141,0,576,128,8,2,3,8,326,362122,364117,0,0,0
283,141,1,576,128,8,2,3,8,326,362954,364981,0,0,0
284,142,0,576,128,8,2,3,8,319,364106,366133,0,0,0
285,142,1,576,128,8,2,3,8,319,364970,366997,0,0,0
286,143,0,576,128,8,2,3,8,301,366122,368149,0,0,0
287,143,1,576,128,8,2,3,8,301,366986,369013,0,0,0
288,144,0,576,128,8,2,3,8,184,368138,370165,0,0,0
289,144,1,576,128,8,2,3,8,184,369002,370629,0,0,0
290,145,0,576,128,8,2,3,8,302,370154,371894,0,0,0
291,145,1,576,128,8,2,3,8,302,370731,372742,0,0,0
292,146,0,576,128,8,2,3,8,314,371883,373894,0,0,0
293,146,1,576,128,8,2,3,8,314,372731,374758,0,0,0
294,147,0,576,128,8,2,3,8,311,373883,375910,0,0,0
295,147,1,576,128,8,2,3,8,311,374747,376774,0,0,0
296,148,0,576,128,8,2,3,8,301,375899,377926,0,0,0
297,148,1,576,128,8,2,3,8,301,376763,378886,0,0,0
298,149,0,576,128,8,2,3,8,301,377915,380038,0,0,0
299,149,1,576,128,8,2,3,8,301,378875,380950,0,0,0
300,150,0,576,128,8,2,3,8,316,380027,382102,0,0,0
301,150,1,576,128,8,2,3,8,316,380939,383030,0,0,0
