window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
241,120,1,576,128,2,2,1,347,7314654,7337444,0,0,0
242,121,0,576,128,2,2,1,314,7337445,7374891,0,0,0
243,121,1,576,128,2,2,1,314,7374892,7395570,0,0,0
244,122,0,576,128,2,2,1,331,7395571,7433017,0,0,0
245,122,1,576,128,2,2,1,331,7433018,7454784,0,0,0
246,123,0,576,128,2,2,1,318,7454785,7492231,0,0,0
247,123,1,576,128,2,2,1,318,7492232,7513166,0,0,0
248,124,0,576,128,2,2,1,300,7513167,7550613,0,0,0
249,124,1,576,128,2,2,1,300,7550614,7570396,0,0,0
250,125,0,576,128,2,2,1,314,7570397,7607843,0,0,0
251,125,1,576,128,2,2,1,314,7607844,7628522,0,0,0
252,126,0,576,128,2,2,1,335,7628523,7665969,0,0,0
253,126,1,576,128,2,2,1,335,7665970,7687992,0,0,0
254,127,0,576,128,2,2,1,340,7687993,7725439,0,0,0
255,127,1,576,128,2,2,1,340,7725440,7747782,0,0,0
256,128,0,576,128,2,2,1,234,7747783,7785229,0,0,0
257,128,1,576,128,2,2,1,234,7785230,7800788,0,0,0
258,129,0,576,128,2,2,1,284,7800789,7838235,0,0,0
259,129,1,576,128,2,2,1,284,7838236,7856994,0,0,0
260,130,0,576,128,2,2,1,304,7856995,7894441,0,0,0
261,130,1,576,128,2,2,1,304,7894442,7914480,0,0,0
262,131,0,576,128,2,2,1,273,7914481,7951927,0,0,0
263,131,1,576,128,2,2,1,273,7951928,7969982,0,0,0
264,132,0,576,128,2,2,1,273,7969983,8007429,0,0,0
265,132,1,576,128,2,2,1,273,8007430,8025484,0,0,0
266,133,0,576,128,2,2,1,257,8025485,8062931,0,0,0
267,133,1,576,128,2,2,1,257,8062932,8079962,0,0,0
268,134,0,576,128,2,2,1,232,8079963,8117409,0,0,0
269,134,1,576,128,2,2,1,232,8117410,8132840,0,0,0
270,135,0,576,128,2,2,1,229,8132841,8170287,0,0,0
271,135,1,576,128,2,2,1,229,8170288,8185526,0,0,0
272,136,0,576,128,2,2,1,241,8185527,8222973,0,0,0
273,136,1,576,128,2,2,1,241,8222974,8238980,0,0,0
274,137,0,576,128,2,2,1,286,8238981,8276427,0,0,0
275,137,1,576,128,2,2,1,286,8276428,8295314,0,0,0
276,138,0,576,128,2,2,1,281,8295315,8332761,0,0,0
277,138,1,576,128,2,2,1,281,8332762,8351328,0,0,0
278,139,0,576,128,2,2,1,183,8351329,8388775,0,0,0
279,139,1,576,128,2,2,1,183,8388776,8401070,0,0,0
280,140,0,576,128,2,2,1,264,8401071,8438517,0,0,0
281,140,1,576,128,2,2,1,264,8438518,8455996,0,0,0
282,141,0,576,128,2,2,1,249,8455997,8493443,0,0,0
283,141,1,576,128,2,2,1,249,8493444,8509962,0,0,0
284,142,0,576,128,2,2,1,297,8509963,8547409,0,0,0
285,142,1,576,128,2,2,1,297,8547410,8567000,0,0,0
286,143,0,576,128,2,2,1,240,8567001,8604447,0,0,0
287,143,1,576,128,2,2,1,240,8604448,8620390,0,0,0
288,144,0,576,128,2,2,1,186,8620391,8657837,0,0,0
289,144,1,576,128,2,2,1,186,8657838,8670324,0,0,0
290,145,0,576,128,2,2,1,267,8670325,8707771,0,0,0
291,145,1,576,128,2,2,1,267,8707772,8725442,0,0,0
292,146,0,576,128,2,2,1,286,8725443,8762889,0,0,0
293,146,1,576,128,2,2,1,286,8762890,8781776,0,0,0
294,147,0,576,128,2,2,1,210,8781777,8819223,0,0,0
295,147,1,576,128,2,2,1,210,8819224,8833246,0,0,0
296,148,0,576,128,2,2,1,277,8833247,8870693,0,0,0
297,148,1,576,128,2,2,1,277,8870694,8889004,0,0,0
298,149,0,576,128,2,2,1,285,8889005,8926451,0,0,0
299,149,1,576,128,2,2,1,285,8926452,8945274,0,0,0
300,150,0,576,128,2,2,1,285,8945275,8982721,0,0,0
301,150,1,576,128,2,2,1,285,8982722,9001544,0,0,0
302,151,0,576,128,2,2,1,200,9001545,9038991,0,0,0
303,151,1,576,128,2,2,1,200,9038992,9052374,0,0,0
304,152,0,576,128,2,2,1,235,9052375,9089821,0,0,0
305,152,1,576,128,2,2,1,235,9089822,9105444,0,0,0
306,153,0,576,128,2,2,1,225,9105445,9142891,0,0,0
307,153,1,576,128,2,2,1,225,9142892,9157874,0,0,0
308,154,0,576,128,2,2,1,244,9157875,9195321,0,0,0
309,154,1,576,128,2,2,1,244,9195322,9211520,0,0,0
310,155,0,576,128,2,2,1,280,9211521,9248967,0,0,0
311,155,1,576,128,2,2,1,280,9248968,9267470,0,0,0
312,156,0,576,128,2,2,1,249,9267471,9304917,0,0,0
313,156,1,576,128,2,2,1,249,9304918,9321436,0,0,0
314,157,0,576,128,2,2,1,228,9321437,9358883,0,0,0
315,157,1,576,128,2,2,1,228,9358884,9374058,0,0,0
316,158,0,576,128,2,2,1,245,9374059,9411505,0,0,0
317,158,1,576,128,2,2,1,245,9411506,9427768,0,0,0
318,159,0,576,128,2,2,1,335,9427769,9465215,0,0,0
319,159,1,576,128,2,2,1,335,9465216,9487238,0,0,0
320,160,0,576,128,2,2,1,254,9487239,9524685,0,0,0
321,160,1,576,128,2,2,1,254,9524686,9541524,0,0,0
322,161,0,576,128,2,2,1,284,9541525,9578971,0,0,0
323,161,1,576,128,2,2,1,284,9578972,9597730,0,0,0
324,162,0,576,128,2,2,1,317,9597731,9635177,0,0,0
325,162,1,576,128,2,2,1,317,9635178,9656048,0,0,0
326,163,0,576,128,2,2,1,258,9656049,9693495,0,0,0
327,163,1,576,128,2,2,1,258,9693496,9710590,0,0,0
328,164,0,576,128,2,2,1,283,9710591,9748037,0,0,0
329,164,1,576,128,2,2,1,283,9748038,9766732,0,0,0
330,165,0,576,128,2,2,1,288,9766733,9804179,0,0,0
331,165,1,576,128,2,2,1,288,9804180,9823194,0,0,0
332,166,0,576,128,2,2,1,274,9823195,9860641,0,0,0
333,166,1,576,128,2,2,1,274,9860642,9878760,0,0,0
334,167,0,576,128,2,2,1,250,9878761,9916207,0,0,0
335,167,1,576,128,2,2,1,250,9916208,9932790,0,0,0
336,168,0,576,128,2,2,1,251,9932791,9970237,0,0,0
337,168,1,576,128,2,2,1,251,9970238,9986884,0,0,0
338,169,0,576,128,2,2,1,206,9986885,10024331,0,0,0
339,169,1,576,128,2,2,1,206,10024332,10038098,0,0,0
340,170,0,576,128,2,2,1,298,10038099,10075545,0,0,0
341,170,1,576,128,2,2,1,298,10075546,10095200,0,0,0
342,171,0,576,128,2,2,1,249,10095201,10132647,0,0,0
343,171,1,576,128,2,2,1,249,10132648,10149166,0,0,0
344,172,0,576,128,2,2,1,201,10149167,10186613,0,0,0
345,172,1,576,128,2,2,1,201,10186614,10200060,0,0,0
346,173,0,576,128,2,2,1,233,10200061,10237507,0,0,0
347,173,1,576,128,2,2,1,233,10237508,10253002,0,0,0
348,174,0,576,128,2,2,1,263,10253003,10290449,0,0,0
349,174,1,576,128,2,2,1,263,10290450,10307864,0,0,0
350,175,0,576,128,2,2,1,301,10307865,10345311,0,0,0
351,175,1,576,128,2,2,1,301,10345312,10365158,0,0,0
352,176,0,576,128,2,2,1,268,10365159,10402605,0,0,0
353,176,1,576,128,2,2,1,268,10402606,10420340,0,0,0
354,177,0,576,128,2,2,1,277,10420341,10457787,0,0,0
355,177,1,576,128,2,2,1,277,10457788,10476098,0,0,0
356,178,0,576,128,2,2,1,256,10476099,10513545,0,0,0
357,178,1,576,128,2,2,1,256,10513546,10530512,0,0,0
358,179,0,576,128,2,2,1,265,10530513,10567959,0,0,0
359,179,1,576,128,2,2,1,265,10567960,10585502,0,0,0
360,180,0,576,128,2,2,1,248,10585503,10622949,0,0,0
361,180,1,576,128,2,2,1,248,10622950,10639404,0,0,0
362,181,0,576,128,2,2,1,324,10639405,10676851,0,0,0
363,181,1,576,128,2,2,1,324,10676852,10698170,0,0,0
364,182,0,576,128,2,2,1,292,10698171,10735617,0,0,0
365,182,1,576,128,2,2,1,292,10735618,10754888,0,0,0
366,183,0,576,128,2,2,1,248,10754889,10792335,0,0,0
367,183,1,576,128,2,2,1,248,10792336,10808790,0,0,0
368,184,0,576,128,2,2,1,264,10808791,10846237,0,0,0
369,184,1,576,128,2,2,1,264,10846238,10863716,0,0,0
370,185,0,576,128,2,2,1,279,10863717,10901163,0,0,0
371,185,1,576,128,2,2,1,279,10901164,10919602,0,0,0
372,186,0,576,128,2,2,1,255,10919603,10957049,0,0,0
373,186,1,576,128,2,2,1,255,10957050,10973952,0,0,0
374,187,0,576,128,2,2,1,252,10973953,11011399,0,0,0
375,187,1,576,128,2,2,1,252,11011400,11028110,0,0,0
376,188,0,576,128,2,2,1,273,11028111,11065557,0,0,0
377,188,1,576,128,2,2,1,273,11065558,11083612,0,0,0
378,189,0,576,128,2,2,1,259,11083613,11121059,0,0,0
379,189,1,576,128,2,2,1,259,11121060,11138218,0,0,0
380,190,0,576,128,2,2,1,243,11138219,11175665,0,0,0
381,190,1,576,128,2,2,1,243,11175666,11191800,0,0,0
382,191,0,576,128,2,2,1,155,11191801,11229247,0,0,0
383,191,1,576,128,2,2,1,155,11229248,11239750,0,0,0
384,192,0,576,128,2,2,1,380,11239751,11277197,0,0,0
385,192,1,576,128,2,2,1,380,11277198,11302100,0,0,0
386,193,0,576,128,2,2,1,372,11302101,11339547,0,0,0
387,193,1,576,128,2,2,1,372,11339548,11363938,0,0,0
388,194,0,576,128,2,2,1,397,11363939,11401385,0,0,0
389,194,1,576,128,2,2,1,397,11401386,11427376,0,0,0
390,195,0,576,128,2,2,1,379,11427377,11464823,0,0,0
391,195,1,576,128,2,2,1,379,11464824,11489662,0,0,0
392,196,0,576,128,2,2,1,375,11489663,11527109,0,0,0
393,196,1,576,128,2,2,1,375,11527110,11551692,0,0,0
394,197,0,576,128,2,2,1,378,11551693,11589139,0,0,0
395,197,1,576,128,2,2,1,378,11589140,11613914,0,0,0
396,198,0,576,128,2,2,1,369,11613915,11651361,0,0,0
397,198,1,576,128,2,2,1,369,11651362,11675560,0,0,0
398,199,0,576,128,2,2,1,380,11675561,11713007,0,0,0
399,199,1,576,128,2,2,1,380,11713008,11737910,0,0,0
400,200,0,576,128,2,2,1,386,11737911,11775357,0,0,0
401,200,1,576,128,2,2,1,386,11775358,11800644,0,0,0
402,201,0,576,128,2,2,1,383,11800645,11838091,0,0,0
403,201,1,576,128,2,2,1,383,11838092,11863186,0,0,0
404,202,0,576,128,2,2,1,372,11863187,11900633,0,0,0
405,202,1,576,128,2,2,1,372,11900634,11925024,0,0,0
406,203,0,576,128,2,2,1,373,11925025,11962471,0,0,0
407,203,1,576,128,2,2,1,373,11962472,11986926,0,0,0
408,204,0,576,128,2,2,1,382,11986927,12024373,0,0,0
409,204,1,576,128,2,2,1,382,12024374,12049404,0,0,0
410,205,0,576,128,2,2,1,380,12049405,12086851,0,0,0
411,205,1,576,128,2,2,1,380,12086852,12111754,0,0,0
412,206,0,576,128,2,2,1,378,12111755,12149201,0,0,0
413,206,1,576,128,2,2,1,378,12149202,12173976,0,0,0
414,207,0,576,128,2,2,1,391,12173977,12211423,0,0,0
415,207,1,576,128,2,2,1,391,12211424,12237030,0,0,0
416,208,0,576,128,2,2,1,386,12237031,12274477,0,0,0
417,208,1,576,128,2,2,1,386,12274478,12299764,0,0,0
418,209,0,576,128,2,2,1,377,12299765,12337211,0,0,0
419,209,1,576,128,2,2,1,377,12337212,12361922,0,0,0
420,210,0,576,128,2,2,1,365,12361923,12399369,0,0,0
421,210,1,576,128,2,2,1,365,12399370,12423312,0,0,0
422,211,0,576,128,2,2,1,384,12423313,12460759,0,0,0
423,211,1,576,128,2,2,1,384,12460760,12485918,0,0,0
424,212,0,576,128,2,2,1,370,12485919,12523365,0,0,0
425,212,1,576,128,2,2,1,370,12523366,12547628,0,0,0
426,213,0,576,128,2,2,1,378,12547629,12585075,0,0,0
427,213,1,576,128,2,2,1,378,12585076,12609850,0,0,0
428,214,0,576,128,2,2,1,359,12609851,12647297,0,0,0
429,214,1,576,128,2,2,1,359,12647298,12670856,0,0,0
430,215,0,576,128,2,2,1,377,12670857,12708303,0,0,0
431,215,1,576,128,2,2,1,377,12708304,12733014,0,0,0
432,216,0,576,128,2,2,1,386,12733015,12770461,0,0,0
