name,vector,K,COUT,P,DEPTH,N,IMPL,STALL_LEN,PATTERN,INPUT_GAPS,MODE_SEQ,RESET_TEST,T,checked_values,windows,cycle_rows,cycle_model_mismatches,total_cycles,cycles_per_window,mean_dense_latency,mean_sparse_latency
v4_calibration_p8_d2_s0_t4,calibration,576,128,8,2,512,3,0,0,0,2,0,4,131072,1024,1024,0,1967308,1921.19921875,3850.876953125,3852.25
v4_edge_k1_c1_p1_d1_s0_t4,synthetic_k1_c1,1,1,1,1,6,3,0,0,0,2,0,4,12,12,12,0,62,5.166666666666667,12.666666666666666,13.333333333333334
v4_edge_k1_c9_p3_d2_s12_t2,synthetic_k1_c9,1,9,3,2,6,3,12,0,0,2,0,2,108,12,12,0,432,36.0,86.66666666666667,91.83333333333333
v4_edge_k27_c9_p2_d1_s0_t16,synthetic_k27_c9,27,9,2,1,32,3,0,0,0,2,0,16,576,64,64,0,2169,33.890625,70.75,70.78125
v4_edge_k9_c17_p8_d2_s4_t3,synthetic_k9_c17,9,17,8,2,14,3,4,0,0,2,0,3,476,28,28,0,777,27.75,62.714285714285715,64.21428571428571
v4_edge_k9_c9_p3_d3_s4_t5,synthetic_k9_c9,9,9,3,3,14,3,4,0,0,2,0,5,252,28,28,0,351,12.535714285714286,34.07142857142857,33.142857142857146
v4_edge_k9_c9_p8_d8_s12_t9,synthetic_k9_c9,9,9,8,8,14,3,12,0,0,2,0,9,252,28,28,0,1022,36.5,190.14285714285714,195.92857142857142
v4_evaluation_p16_d2_s0_t4,evaluation,576,128,16,2,512,3,0,0,0,2,0,4,131072,1024,1024,0,979737,956.7744140625,1931.51171875,1929.109375
v4_evaluation_p2_d2_s0_t4,evaluation,576,128,2,2,512,3,0,0,0,2,0,4,131072,1024,1024,0,7824390,7641.005859375,15279.001953125,15285.875
v4_evaluation_p8_d2_s0_t1,evaluation,576,128,8,2,512,3,0,0,0,2,0,1,131072,1024,1024,0,7404124,7230.58984375,14465.408203125,14471.03125
v4_evaluation_p8_d2_s0_t2,evaluation,576,128,8,2,512,3,0,0,0,2,0,2,131072,1024,1024,0,3785932,3697.19921875,7401.783203125,7404.25
v4_evaluation_p8_d2_s0_t4,evaluation,576,128,8,2,512,3,0,0,0,2,0,4,131072,1024,1024,0,1956540,1910.68359375,3830.345703125,3831.21875
